mx,my
5.544430319836926e-05,0.03047980399515043
0.8073242943854236,0.884044845015979
2.0205403408614253,1.976008842285702
1.7191363436363991,2.1792483002100127
2.020284670786103,1.9816912854543867
2.0378726209446265,2.0658041818083626
1.884810910750707,2.0997759851605733
2.036914269827359,1.8524225165300263
1.9953552185120678,2.0879445949287265
1.9291243332800327,2.142461049881623
1.8685640207688063,1.9949304362558802
1.8296027281051561,1.8747447958789305
2.042424500857287,1.9297856836761866
2.2212530791136644,1.9991485478822157
2.066004944366541,2.093304697406396
1.9259476932543977,1.839748395469506
2.0378647485578525,1.950621046145124
2.0070139319570743,2.1610604072327315
1.9830998238511781,1.9714024994342558
1.867404530835404,1.965474676870096
1.8532611834517376,2.0545249207087597
1.8919772712791576,1.9577811868473871
1.9312378410579143,2.1433103218138583
1.9022300715767884,2.248480811677931
1.9540961905402512,2.126030099542018
1.775632949590867,1.9492989903263356
1.9590619715233444,1.8305284013119774
1.9070363832952144,1.9687626103957523
2.030337770529799,1.9365492463086345
1.9656881591778306,1.9766736226122184
2.0378180000075825,1.9967656373368359
1.914700346529277,1.834591359195251
1.962096977926616,2.184719257433303
1.9407272093803485,2.01159649084798
1.8145079691270325,2.220987610097664
2.017401990334605,1.927967229312078
1.954185952277649,2.2325428586248104
2.0460462692877326,1.8986021087321556
1.911512262743974,2.0620394305650853
1.9202304832784296,2.0598237582899155
2.1511438054486876,2.09791572424125
2.171486479396829,1.956032507769128
2.052722823368034,2.068559054629912
1.9163522886512496,1.9749845283961016
2.11579834726897,2.1133662794459025
2.1094299667626055,1.942969064137376
1.8422524365193573,1.9053742067172819
2.049112326913764,1.9061186189759858
1.9477233101315046,1.8481406191546605
2.157765696155796,2.0403712715965767
1.9879979571607707,1.9559041818947236
2.139720898169095,2.0021440643866386
2.075503089258121,2.2032345443797547
2.0438758772843775,1.8453595383592418
1.9399994543090533,1.87048860857107
1.9089937276797906,1.9690742634695984
1.9869607083048622,1.8686946484509104
1.9371985774847673,1.947601303731748
1.9595717153902938,2.0968899894218223
2.0564030157624518,2.1152756499940333
2.126380106643108,1.9724076281856504
1.9517102191420468,2.1320265107999212
1.982529064871655,1.9286403145962305
2.1378444292655145,1.9743945368656326
1.8358128835565628,2.0987267735940875
2.21275327779741,2.1001592949650627
2.0144875744910253,2.1034425721193633
2.053417808528137,1.9469588085910774
1.9000993346491393,2.260608987658496
2.2287967424514195,2.0026458531203217
2.1313579249508576,1.9643344966104674
2.028371205730833,1.932049194622932
2.029062122320658,2.104751455558911
1.9418434025014415,2.0862170516522545
2.023122776675204,1.8958793982677746
1.8239554679945966,2.106600926700315
1.9057352900831688,1.9941196496372744
2.1582067780694345,1.9543535642101781
2.056275717146878,1.9787697066246557
1.9310412869954063,2.023781587981574
1.8235658539030153,1.869965659803248
1.953828235333278,1.97641203282079
2.0841158011697933,2.00597101053765
1.9554420384364917,2.2058742937786113
2.0338625675270756,2.2477350252076187
1.8812529791986816,2.053190253878693
2.0220913359333297,2.2696959617710477
2.0109080095874434,2.0487394486661894
2.2696251901571545,2.1256685744205597
1.9385431483926423,2.04520503015737
2.14560709215804,1.9163145572620137
1.9508358010020275,1.999635038138822
1.9827399003845403,2.0784245285643963
2.0239381828180276,2.03559593524564
1.9333994717221097,1.885167819642583
2.0349497166540225,2.0679818492243416
2.172698116343105,2.0886921257557365
2.0355819932891914,2.077719908423128
1.9743904252700504,1.9740328521861585
2.0186548323494007,1.9588016920722187
